id,area_sqft,bedrooms,bathrooms,floor,age_years,location,property_type,has_parking,has_gym,price
101,850,2,1,1,12,BTM Layout,Apartment,1,0,52.5
102,1200,3,2,3,8,Indiranagar,Apartment,1,1,96.2
103,650,1,1,2,22,Whitefield,Studio,0,0,38.4
104,1850,4,3,7,5,Whitefield,Villa,1,1,152.8
105,980,2,2,4,15,Electronic City,Apartment,1,0,63.5
106,450,1,1,1,18,HSR Layout,Studio,0,0,32.1
107,2200,4,3,9,4,Indiranagar,Villa,1,1,173.9
108,1500,3,2,6,10,Marathahalli,Apartment,1,1,112.4
109,1350,3,2,5,9,HSR Layout,Apartment,1,0,104.7
110,750,2,1,1,20,BTM Layout,Apartment,1,0,46.2
111,1950,4,3,8,6,Electronic City,Villa,1,1,146.3
112,1100,2,2,3,14,Marathahalli,Apartment,0,0,78.6
113,500,1,1,1,25,Whitefield,Studio,0,0,29.4
114,2400,5,4,10,3,Indiranagar,Villa,1,1,201.7
115,1650,3,3,7,11,HSR Layout,Apartment,1,1,127.2
116,900,2,1,2,17,BTM Layout,Apartment,0,0,54.1
117,2600,5,4,11,4,Whitefield,Villa,1,1,214.6
118,1050,2,2,4,13,Electronic City,Apartment,1,0,70.8
119,1300,3,2,5,7,Marathahalli,Apartment,1,1,101.4
120,3100,5,5,12,2,Indiranagar,Villa,1,1,265.9
